,train_loss,valid_loss,best_valid_loss,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/alpha_d_ff,config/batch_size,config/d_core,config/d_model,config/dropout,config/e_layers,config/learning_rate,config/lradj,logdir
0,0.7101139185890075,0.5509639475865256,0.5509639475865256,1724797696,checkpoint_000013,True,False,14,f48a04fa,2024-08-28_00-28-16,1.1383793354034424,15.159841775894165,23530,antonio,192.168.1.107,9.14925217628479,8,1,128,256,512,0.004123306237926716,2,0.00042957101690900383,type1,f48a04fa
1,0.7241574746947135,0.5402782942784269,0.5386022241068129,1724797700,checkpoint_000008,True,False,9,b5b0e450,2024-08-28_00-28-20,1.4915788173675537,14.798035621643066,23597,antonio,192.168.1.107,12.415164709091187,8,3,128,32,512,0.006478026231230946,3,0.000214441098705142,type1,b5b0e450
2,0.7125961703913553,0.5411254973639938,0.5392704579508564,1724797723,checkpoint_000012,True,False,13,ad36feb9,2024-08-28_00-28-43,4.644672393798828,53.027650356292725,23609,antonio,192.168.1.107,35.43186044692993,8,1,16,32,128,0.007277094555293416,2,0.0007381168624839365,type1,ad36feb9
3,0.7166780388330902,0.6604801769446356,0.6027951706192218,1724797664,checkpoint_000005,True,False,6,53f7d6e4,2024-08-28_00-27-44,6.026364088058472,38.48598885536194,15911,antonio,192.168.1.107,38.48598885536194,6,1,8,32,512,0.005030738687542961,2,0.00036101517917145107,type1,53f7d6e4
4,0.7133624425263909,0.6532604425718033,0.6035878511558579,1724797662,checkpoint_000004,True,False,5,23a2498f,2024-08-28_00-27-42,0.8938508033752441,5.166447877883911,19420,antonio,192.168.1.107,5.166447877883911,5,4,64,32,512,0.006861156574668609,1,0.0006172388619715466,type1,23a2498f
5,0.6991746156446396,0.547044687666092,0.547044687666092,1724797654,checkpoint_000007,True,False,8,2b6de404,2024-08-28_00-27-34,0.9176397323608398,7.4675726890563965,18229,antonio,192.168.1.107,7.4675726890563965,8,1,128,512,512,0.005800012661251751,2,0.0005061343760712433,type1,2b6de404
6,0.8433007194149879,0.6081963119987865,0.6081963119987865,1724797648,checkpoint_000007,True,False,8,ee451a85,2024-08-28_00-27-28,0.7738192081451416,7.716493129730225,17275,antonio,192.168.1.107,7.716493129730225,8,1,128,64,32,0.006132719722269853,4,0.0005588773529765746,type1,ee451a85
7,0.7207706618693567,0.5502278855254065,0.5479764515109109,1724797644,checkpoint_000007,True,False,8,3f6ad912,2024-08-28_00-27-24,0.9822490215301514,8.437441110610962,16971,antonio,192.168.1.107,8.437441110610962,8,4,128,32,512,0.0036911727616525513,2,0.0003229719316670615,type1,3f6ad912
8,0.7473883514384815,0.6452350273611147,0.6058862917625149,1724797638,checkpoint_000008,True,True,9,391ac873,2024-08-28_00-27-18,5.879708528518677,64.71888828277588,12045,antonio,192.168.1.107,48.86593008041382,7,1,8,32,512,0.004897339444941513,2,0.0004493087949100546,type1,391ac873
9,0.7557825479776629,0.6391795634782077,0.6114339949851895,1724797634,checkpoint_000004,True,False,5,7ab77153,2024-08-28_00-27-14,0.696967601776123,4.018235206604004,16361,antonio,192.168.1.107,4.018235206604004,5,1,128,32,64,0.005370221680965029,2,0.003613620442510518,type1,7ab77153
10,0.7221804193912014,0.6293410397910896,0.5945683401362425,1724797628,checkpoint_000003,True,False,4,c61100b2,2024-08-28_00-27-08,0.959437370300293,4.2680559158325195,15620,antonio,192.168.1.107,4.2680559158325195,4,3,128,128,512,0.006854911653820268,2,0.0008045802185887596,type1,c61100b2
11,0.7062484256682857,0.5409387438896353,0.540720706871956,1724797624,checkpoint_000007,True,False,8,49f6ffcc,2024-08-28_00-27-04,0.7429630756378174,7.280837297439575,14952,antonio,192.168.1.107,7.280837297439575,8,1,128,32,512,0.00561920099556795,2,0.00047524309834524994,type1,49f6ffcc
12,0.651603152374832,0.5674193001411293,0.5455903673354038,1724797622,checkpoint_000005,True,False,6,4e20ed16,2024-08-28_00-27-02,4.390224933624268,23.814689874649048,13334,antonio,192.168.1.107,23.814689874649048,6,1,16,256,512,0.006252815300014934,2,0.0002821162690419247,type1,4e20ed16
13,0.740119481279004,0.5500229630190043,0.5435840273444049,1724797615,checkpoint_000004,True,False,5,a3b1240d,2024-08-28_00-26-55,1.3759629726409912,7.8001792430877686,14205,antonio,192.168.1.107,7.8001792430877686,5,4,128,32,512,0.004699098064165217,3,0.0002397183386121408,type1,a3b1240d
14,0.7073247879743576,0.6379419767376672,0.6081314304535833,1724797604,checkpoint_000004,True,False,5,8edc4510,2024-08-28_00-26-44,0.8462696075439453,5.080419301986694,13521,antonio,192.168.1.107,5.080419301986694,5,1,128,32,512,0.006607848968289321,2,0.0010495854857103409,type1,8edc4510
