,id,seed,budget,train_loss,valid_loss,cost,time_s,status,start_time,end_time,config_batch_size,config_learning_rate,config_d_model,config_alpha_d_ff,config_d_core,config_e_layers,config_dropout,config_lradj
0,1,123,3,0.8231514394283295,0.6029878110865761,0.6029878110865761,3.642868757247925,StatusType.SUCCESS,1724981020.9960773,1724981024.6396763,32,0.0004821026935,32,3,64,1,0.0023508577801,cosine
1,2,123,3,0.9068289250135422,0.602857762274506,0.602857762274506,9.430351972579956,StatusType.SUCCESS,1724981024.6413186,1724981034.072539,16,0.0015120382784,32,2,64,4,0.00590255351,type1
2,3,123,3,0.7244929075241089,0.6070446330383386,0.6070446330383386,2.9144341945648193,StatusType.SUCCESS,1724981034.073771,1724981036.9890993,64,0.0002596736258,64,3,32,1,0.0013113448531,cosine
3,2,123,8,0.9068289250135422,0.602857762274506,0.602857762274506,15.459875345230103,StatusType.SUCCESS,1724981036.9907434,1724981052.4515588,16,0.0015120382784,32,2,64,4,0.00590255351,type1
4,4,123,8,0.6406808495521545,0.537655273903194,0.537655273903194,10.610647916793823,StatusType.SUCCESS,1724981052.4530423,1724981063.0645087,32,0.0003414993649,256,3,64,2,0.0012865813859,type1
5,5,123,8,0.8215050101280212,0.5932329816434296,0.5932329816434296,6.11596941947937,StatusType.SUCCESS,1724981063.0661764,1724981069.1829863,64,0.0010195596024,512,1,64,1,0.0033747601445,cosine
6,6,123,3,0.8809983134269714,0.5936805723939214,0.5936805723939214,2.8211119174957275,StatusType.SUCCESS,1724981069.1849158,1724981072.0069609,64,0.0008036931396,256,1,512,1,0.0095765985973,type1
7,7,123,3,0.86665278673172,0.5972018050187609,0.5972018050187609,4.1848061084747314,StatusType.SUCCESS,1724981072.008541,1724981076.194226,32,0.0006153270642,128,4,256,2,0.0010744850459,type1
8,8,123,3,1.0968061089515686,0.6132615416042234,0.6132615416042234,3.617720365524292,StatusType.SUCCESS,1724981076.1958268,1724981079.8143964,32,0.0002423804971,32,3,256,1,0.0030607900961,type1
9,6,123,8,0.8809983134269714,0.5936805723939214,0.5936805723939214,4.141912460327148,StatusType.SUCCESS,1724981079.8160732,1724981083.9589067,64,0.0008036931396,256,1,512,1,0.0095765985973,type1
10,9,123,8,0.5869273841381073,0.5509118412667433,0.5509118412667433,12.97353720664978,StatusType.SUCCESS,1724981083.9607449,1724981096.9351056,32,0.000202867082,512,2,512,3,0.0015028868658,type1
11,10,123,8,1.0345603823661804,0.6031509713683069,0.6031509713683069,10.426876068115234,StatusType.SUCCESS,1724981096.9367921,1724981107.3645108,32,0.0003412042455,256,1,512,2,0.0026114276247,type1
12,11,123,3,0.8826732039451599,0.5341616446416944,0.5496985413089277,3.2038376331329346,StatusType.SUCCESS,1724981107.366534,1724981110.5713184,64,0.0002998272853,256,4,64,2,0.0018515748519,cosine
13,12,123,3,0.7560392022132874,0.5693668105545997,0.5693668105545997,2.8881449699401855,StatusType.SUCCESS,1724981110.5729215,1724981113.4619124,64,0.0035418893013,512,2,512,1,0.003159428647,type1
