,epoch,train_loss,valid_loss,time_epoch_s
0,1,0.7682689103213224,0.7342761251670243,9.949631690979004
1,2,0.6589522334662351,0.7275407304477755,9.481323719024658
2,3,0.6486560729416934,0.71787290675539,9.658281564712524
3,4,0.539914832873778,0.7473341098619645,9.930608987808228
4,5,0.5204824073748155,0.8101092440247457,9.74299693107605
5,6,0.4632245112549175,0.8574627101408259,9.82536244392395
6,7,0.4020924053408883,0.8541165881433531,9.718725204467773
7,8,0.4145831865343181,0.9315765094715169,9.751234292984009
8,9,0.4525121951645071,0.9629242985202988,10.268802404403687
9,10,0.37114435163411225,0.9610410445707234,9.933522939682007
