,train_loss,valid_loss,best_valid_loss,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/alpha_d_ff,config/batch_size,config/d_core,config/d_model,config/dropout,config/e_layers,config/learning_rate,config/lradj,logdir
384,0.625940016997877,0.3658154792542074,0.36497759995853973,1724770774,checkpoint_000005,True,False,6,af6d92ee,2024-08-27_16-59-34,1.603276014328003,9.449361324310303,211389,antonio,192.168.1.103,9.449361324310303,6,3,64,64,64,0.011920409998856324,3,0.00031157840621001405,type1,af6d92ee
385,0.5343906819820404,0.3644009890279976,0.3591913592721718,1724770775,checkpoint_000006,True,False,7,d16a02f5,2024-08-27_16-59-35,0.6866838932037354,6.627122163772583,211836,antonio,192.168.1.103,6.627122163772583,7,3,128,64,256,0.008017876403033636,2,0.0007219992735256786,type1,d16a02f5
386,0.5426399391796802,0.39013079503781667,0.3729427772092913,1724770798,checkpoint_000004,True,False,5,76f2957a,2024-08-27_16-59-58,3.758547067642212,21.755143642425537,212936,antonio,192.168.1.103,21.755143642425537,5,3,16,64,512,0.00550464541120715,2,0.00042186482101450257,type1,76f2957a
387,0.6468425307292419,0.3723649778511295,0.3723649778511295,1724770797,checkpoint_000007,True,False,8,c50ab3c2,2024-08-27_16-59-57,1.927513599395752,19.498900890350342,213011,antonio,192.168.1.103,19.498900890350342,8,2,32,256,32,0.010732258008897079,2,0.00010542284279679807,cosine,c50ab3c2
388,0.5867480245920328,0.373076693353578,0.3649812479033217,1724770783,checkpoint_000003,True,False,4,d1392a69,2024-08-27_16-59-43,0.6522002220153809,3.1771979331970215,213196,antonio,192.168.1.103,3.1771979331970215,4,3,128,64,128,0.008513668015165753,1,0.001083657567696156,type1,d1392a69
389,0.7057921031985102,0.4039535893672576,0.40207902448350646,1724770848,checkpoint_000005,True,True,6,efb77f00,2024-08-27_17-00-48,9.721405982971191,63.22203230857849,213912,antonio,192.168.1.103,63.22203230857849,6,1,8,512,512,0.005940401701006199,2,0.0020309829503592633,type1,efb77f00
390,0.4910323234704825,0.34682424351836466,0.34682424351836466,1724770796,checkpoint_000007,True,False,8,8d1c004b,2024-08-27_16-59-56,1.1242384910583496,9.814437627792358,214164,antonio,192.168.1.103,9.814437627792358,8,3,128,64,512,0.009335999070817938,2,0.0004884566456661052,type1,8d1c004b
391,0.552005676907788,0.383478929076073,0.36727410762740964,1724770821,checkpoint_000003,True,False,4,9e253229,2024-08-27_17-00-21,4.166900396347046,23.575828313827515,215311,antonio,192.168.1.103,23.575828313827515,4,3,16,32,256,0.006303208798959784,2,0.0006647235723080687,type1,9e253229
392,0.7069578845677209,0.40317573725357503,0.4009352999492338,1724770819,checkpoint_000003,True,False,4,c129b56a,2024-08-27_17-00-19,3.9796645641326904,20.405922412872314,215498,antonio,192.168.1.103,20.405922412872314,4,3,32,64,512,0.002872150988768734,4,0.00119137567803968,type1,c129b56a
393,0.6008614792273594,0.37863316436413463,0.3756740533884007,1724770814,checkpoint_000006,True,False,7,abec2198,2024-08-27_17-00-14,1.7891271114349365,13.11504864692688,215649,antonio,192.168.1.103,13.11504864692688,7,3,128,64,512,0.010240827471204602,3,0.001447008471413922,type1,abec2198
394,0.5926561013672703,0.3755103800994708,0.36577325419967444,1724770823,checkpoint_000005,True,False,6,9cdac47b,2024-08-27_17-00-23,0.9936630725860596,7.306003570556641,216678,antonio,192.168.1.103,7.306003570556641,6,3,64,64,64,0.007000492881544164,2,0.0005498675490359508,cosine,9cdac47b
395,0.5334357169958261,0.37358708928516665,0.3652769691349247,1724770826,checkpoint_000005,True,False,6,8d3b1cfb,2024-08-27_17-00-26,0.7812166213989258,4.848701477050781,217167,antonio,192.168.1.103,4.848701477050781,6,2,128,256,256,0.007318150745340172,2,0.000798846017821486,type1,8d3b1cfb
396,0.41718028343721125,0.35314006530231484,0.3459884102604478,1724770860,checkpoint_000006,True,False,7,5ae122ba,2024-08-27_17-01-00,8.317030906677246,36.96153473854065,217454,antonio,192.168.1.103,36.96153473854065,7,1,16,64,512,0.01141194332731507,2,0.0004297573035555723,type1,5ae122ba
397,0.6149666475182841,0.36840459240677315,0.3671341955310469,1724770837,checkpoint_000005,True,False,6,53af4ce8,2024-08-27_17-00-37,2.1095778942108154,12.276421070098877,217753,antonio,192.168.1.103,12.276421070098877,6,3,32,512,32,0.0018638545378700162,1,0.00035587269521878393,type1,53af4ce8
398,0.5607893155171321,0.3660705868293822,0.3556969485020591,1724770836,checkpoint_000005,True,False,6,2c6e5467,2024-08-27_17-00-36,1.087738275527954,7.32887864112854,218309,antonio,192.168.1.103,7.32887864112854,6,3,128,64,512,0.0048547020799431136,2,0.0001522361096067913,type1,2c6e5467
399,0.5242999170951277,0.3935779433353477,0.36448199861410324,1724770904,checkpoint_000004,True,True,5,7e700a81,2024-08-27_17-01-44,11.490493297576904,66.04765176773071,219348,antonio,192.168.1.103,66.04765176773071,5,3,8,32,128,0.008255258936776295,2,0.0006141700060991514,type1,7e700a81
400,0.5545877342040723,0.37279198535064817,0.35391203159199247,1724770845,checkpoint_000004,True,False,5,e8318a94,2024-08-27_17-00-45,1.0885050296783447,6.1869797706604,219527,antonio,192.168.1.103,6.1869797706604,5,3,128,64,512,0.0042960077541420285,2,0.00018477596694711258,type1,e8318a94
401,0.47984184393515955,0.3449088089124159,0.3446666198769815,1724770859,checkpoint_000007,True,False,8,ff1628cc,2024-08-27_17-00-59,1.4860553741455078,11.913739442825317,220172,antonio,192.168.1.103,11.913739442825317,8,4,128,128,512,0.009807809044749817,2,0.0007374257372048964,type1,ff1628cc
402,0.4898139838988964,0.3461996262340508,0.3461996262340508,1724770861,checkpoint_000007,True,False,8,5d2e12bf,2024-08-27_17-01-01,0.8541245460510254,11.694854974746704,220424,antonio,192.168.1.103,11.694854974746704,8,4,128,128,512,0.010791998431467734,2,0.0005947725003948794,type1,5d2e12bf
403,0.5036904247907492,0.34290633525970177,0.34267622583741525,1724770875,checkpoint_000007,True,False,8,a06014e8,2024-08-27_17-01-15,1.8346691131591797,12.977418184280396,221693,antonio,192.168.1.103,12.977418184280396,8,4,128,128,512,0.00893920433376575,2,0.0006582909475890945,type1,a06014e8
