,epoch,train_loss,valid_loss,time_epoch_s
0,1,0.3608767177377428,0.4748385010023126,33.59077978134155
1,2,0.30299975190843853,0.466180085043783,33.394336223602295
2,3,0.31784965310777935,0.4552587687451906,33.31016659736633
3,4,0.3009793162345886,0.45211674613570985,33.476537466049194
4,5,0.29648588810648235,0.44471233154906603,30.122750759124756
5,6,0.2835964688232967,0.4404402080934096,30.291532039642334
6,7,0.2884202173777989,0.4315720758937019,33.31451392173767
7,8,0.2880639135837555,0.4289916572713346,30.14202117919922
8,9,0.2791326173714229,0.4258954184149592,33.47392511367798
9,10,0.28759551474026274,0.42061324490875496,30.1980562210083
10,11,0.28417699677603586,0.42152946365488875,30.278536319732666
11,12,0.2836545152323587,0.41763337282688434,30.260907411575317
12,13,0.2794192773955209,0.4166569325250278,30.230156183242798
13,14,0.2785553293568747,0.41587086586621136,30.22314167022705
14,15,0.280351208789008,0.4138113326943599,30.307886838912964
15,16,0.2810948235648019,0.4136209184431409,30.300635814666748
16,17,0.2722513569252832,0.4117330109831682,30.266396045684814
17,18,0.27771796924727304,0.41048376050956453,30.27283000946045
18,19,0.2690324102129255,0.41056097660253227,30.27823758125305
19,20,0.2779851257801056,0.410341813427503,30.339993000030518
20,21,0.26516027961458477,0.4083249580434801,30.26823663711548
21,22,0.2613830268383026,0.4087583380127137,30.436544179916382
22,23,0.2669420348746436,0.4075251897310222,30.343864917755127
23,24,0.26759427785873413,0.4086545493126835,30.410932064056396
24,25,0.26434859207698275,0.4059985827227108,30.271889448165894
25,26,0.2592564480645316,0.40671180853963246,30.306915998458862
26,27,0.2660979585988181,0.40528813955753956,30.27197265625
27,28,0.2627759448119572,0.40531972789258597,30.244789600372314
28,29,0.26397229731082916,0.40608452253309485,30.295173168182373
29,30,0.26836073824337553,0.40515556095191346,30.280734300613403
30,31,0.2627690668616976,0.40416108593416533,30.286306381225586
31,32,0.26397197587149485,0.40376741524602544,30.306984901428223
32,33,0.2608394431216376,0.40280363322913704,30.29205894470215
33,34,0.26396313309669495,0.40340334835139857,30.238773107528687
34,35,0.26431807024138315,0.4034688189956238,30.31907892227173
35,36,0.2590762312923159,0.4027887647441636,30.261669874191284
36,37,0.25802148239953177,0.40278251220543104,30.265483856201172
37,38,0.25641248907361713,0.4029754324957168,30.23054337501526
38,39,0.2561309720788683,0.40273308667750346,30.223846435546875
39,40,0.2572151720523834,0.4026985404404058,30.226998329162598
40,41,0.2610304483345577,0.4022073241933217,30.212268590927124
41,42,0.26646836527756285,0.40174684733181126,30.21752905845642
42,43,0.2526573027883257,0.40194930065793266,30.219831943511963
43,44,0.2576319681746619,0.4018601234014377,30.247263431549072
44,45,0.25638633966445923,0.40154155373228434,30.257094383239746
45,46,0.24936577677726746,0.4016800340024347,30.239538431167603
46,47,0.2504851903234209,0.40192009995735484,30.149878978729248
47,48,0.25446384293692453,0.40190547575371244,30.290305376052856
48,49,0.2557526613984789,0.4017619797268392,30.514891386032104
49,50,0.2564975321292877,0.40175280819863457,30.59470534324646
