,epoch,train_loss,valid_loss,time_epoch_s
0,1,,0.3712412056965069,1.0849058628082275
1,2,,0.3612826907915779,0.7644577026367188
2,3,,0.3518631190705627,0.7641556262969971
3,4,,0.3363447973910858,0.7676935195922852
4,5,,0.3392480059550647,0.7747774124145508
5,6,,0.3369987624918782,0.7682280540466309
6,7,,0.33566453093864124,0.7620620727539062
7,8,,0.33505843500725646,0.764305591583252
8,9,,0.3361892921282875,0.7668752670288086
9,10,,0.3362024258302565,0.7676126956939697
10,11,,0.3363578906462094,0.7636623382568359
