,id,seed,budget,train_loss,valid_loss,cost,time_s,status,start_time,end_time,config_batch_size,config_learning_rate,config_d_model,config_alpha_d_ff,config_d_core,config_e_layers,config_dropout,config_lradj
0,1,123,3,0.4064768254756927,0.2192740666695086,0.21927406666950863,3.5228424072265625,StatusType.SUCCESS,1724954308.6884577,1724954312.2121882,32,0.0004821026935,32,3,64,1,0.0023508577801,cosine
1,2,123,3,0.371864041686058,0.2221024990697095,0.22210249906970952,9.795701265335083,StatusType.SUCCESS,1724954312.213635,1724954322.0101902,16,0.0015120382784,32,2,64,4,0.00590255351,type1
2,3,123,3,0.3897932171821594,0.2167917528154606,0.21908193004837584,2.5753087997436523,StatusType.SUCCESS,1724954322.0116181,1724954324.5877814,64,0.0002596736258,64,3,32,1,0.0013113448531,cosine
3,3,123,8,0.3897932171821594,0.2167917528154606,0.2167917528154606,3.6036152839660645,StatusType.SUCCESS,1724954324.5892792,1724954328.19378,64,0.0002596736258,64,3,32,1,0.0013113448531,cosine
4,4,123,8,0.3444798588752746,0.216737329713746,0.21673732971374607,9.595581769943237,StatusType.SUCCESS,1724954328.195211,1724954337.7916114,32,0.0003414993649,256,3,64,2,0.0012865813859,type1
5,5,123,8,0.4695882797241211,0.2232283322505077,0.22322833225050778,4.868088006973267,StatusType.SUCCESS,1724954337.7935836,1724954342.6624978,64,0.0010195596024,512,1,64,1,0.0033747601445,cosine
6,6,123,3,0.4579168260097503,0.2207083979511175,0.22070839795111755,2.418461561203003,StatusType.SUCCESS,1724954342.6642706,1724954345.0836298,64,0.0008036931396,256,1,512,1,0.0095765985973,type1
7,7,123,3,0.2776099592447281,0.2193206885130658,0.2193206885130658,4.0511651039123535,StatusType.SUCCESS,1724954345.0849102,1724954349.1368673,32,0.0006153270642,128,4,256,2,0.0010744850459,type1
8,8,123,3,0.3804250359535217,0.2216937169165114,0.22169371691651146,3.2838265895843506,StatusType.SUCCESS,1724954349.138243,1724954352.4229305,32,0.0002423804971,32,3,256,1,0.0030607900961,type1
9,7,123,8,0.2776099592447281,0.2193206885130658,0.2193206885130658,6.237253904342651,StatusType.SUCCESS,1724954352.4248247,1724954358.6629772,32,0.0006153270642,128,4,256,2,0.0010744850459,type1
10,9,123,8,0.6413160860538483,0.2151038697795337,0.21510386977953372,12.314547300338745,StatusType.SUCCESS,1724954358.6647305,1724954370.9800978,32,0.000202867082,512,2,512,3,0.0015028868658,type1
11,10,123,8,0.4151888936758041,0.2188322160734094,0.21883221607340944,9.521251916885376,StatusType.SUCCESS,1724954370.9820077,1724954380.5040646,32,0.0003412042455,256,1,512,2,0.0026114276247,type1
12,11,123,3,0.3001392185688019,0.2201006078741494,0.22010060787414948,2.9712185859680176,StatusType.SUCCESS,1724954380.5062582,1724954383.4783857,64,0.0002998272853,256,4,64,2,0.0018515748519,cosine
13,12,123,3,0.2980959415435791,0.2255186347815892,0.2255186347815892,2.5165984630584717,StatusType.SUCCESS,1724954383.4800003,1724954385.997411,64,0.0035418893013,512,2,512,1,0.003159428647,type1
14,13,123,3,0.5761542752385139,0.2700276990713722,0.2700276990713722,17.977598667144775,StatusType.SUCCESS,1724954385.9990437,1724954403.9774702,8,0.0024116262264,256,3,256,4,0.0017113089176,cosine
15,11,123,8,0.3001392185688019,0.2201006078741494,0.22010060787414948,4.245033264160156,StatusType.SUCCESS,1724954403.9794528,1724954408.225407,64,0.0002998272853,256,4,64,2,0.0018515748519,cosine
16,14,123,8,0.4647763699293136,0.2171072434747668,0.21710724347476684,16.13824462890625,StatusType.SUCCESS,1724954408.2274342,1724954424.3664932,16,0.0002592776834,64,4,64,2,0.0063304072006,type1
17,15,123,8,0.2983410954475403,0.2541260057441636,0.2541260057441636,5.905821323394775,StatusType.SUCCESS,1724954424.3684335,1724954430.2750869,64,6.11157199e-05,32,4,128,2,0.0010733605571,type1
18,16,123,3,,0.2220753015532313,0.22207530155323138,2.0378899574279785,StatusType.SUCCESS,1724954430.2774932,1724954432.3167284,128,0.0022761206208,128,3,64,2,0.0013498202028,cosine
19,17,123,3,,0.2403815817576122,0.24038158175761223,2.432680130004883,StatusType.SUCCESS,1724954432.318562,1724954434.7520742,128,0.0002378546774,32,1,32,4,0.0017721446715,type1
20,18,123,3,,0.2182971259475396,0.21829712594753964,2.0574026107788086,StatusType.SUCCESS,1724954434.7537882,1724954436.81205,128,0.0006363706699,64,3,32,2,0.0073290448648,cosine
21,18,123,8,,0.2182971259475396,0.21829712594753964,2.8746044635772705,StatusType.SUCCESS,1724954436.8140516,1724954439.6895967,128,0.0006363706699,64,3,32,2,0.0073290448648,cosine
22,19,123,8,0.3267424568533897,0.2201904629783527,0.22019046297835276,37.721728801727295,StatusType.SUCCESS,1724954439.6921134,1724954477.414729,8,0.0007179148563,32,2,512,3,0.0036399733072,cosine
23,20,123,8,0.3478063270449638,0.2209385630953889,0.22093856309538898,23.11969566345215,StatusType.SUCCESS,1724954477.416777,1724954500.5372677,8,0.0005521233611,128,1,128,1,0.0050164002415,cosine
24,21,123,3,0.3371064752340317,0.2173521280930757,0.21735212809307572,5.238181829452515,StatusType.SUCCESS,1724954500.5401478,1724954505.779249,16,0.0001961966354,128,2,512,1,0.0020607904424,type1
25,22,123,3,0.3990954220294952,0.2701627844379449,0.2701627844379449,9.825038433074951,StatusType.SUCCESS,1724954505.7810662,1724954515.606953,16,0.0035821064248,128,2,32,4,0.0074951894677,type1
