,train_loss,valid_loss,best_valid_loss,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/batch_size,config/learning_rate,config/d_model,config/d_core,config/e_layers,config/dropout,config/lradj,config/d_ff,config/alpha_d_ff,logdir
0,0.45604692757812165,0.2852164039262922,0.27986756239783234,1724801268,checkpoint_000005,True,False,6,9e5f3c2e,2024-08-28_01-27-48,1.8099584579467773,10.53874683380127,505584,antonio,192.168.1.107,7.567967176437378,4,32,0.0003,128,64,2,0.0031,cosine,128,1,9e5f3c2e
1,0.6086044768815286,0.3239282011658829,0.3228589897430178,1724801236,checkpoint_000001,True,False,2,e31efe01,2024-08-28_01-27-16,3.222470760345459,6.160009384155273,503066,antonio,192.168.1.107,6.160009384155273,2,16,0.00457613050139046,128,64,2,0.0056137252522899935,type1,384,3,e31efe01
2,0.4210157322610086,0.2929063162182112,0.28145379805573745,1724801276,checkpoint_000005,True,True,6,b48a6914,2024-08-28_01-27-56,2.6752443313598633,17.034759283065796,505918,antonio,192.168.1.107,11.14307451248169,4,16,0.0003126500590178126,256,64,1,0.002623559816334108,type1,512,2,b48a6914
3,0.6087531717770408,0.3323673586966868,0.31670768869858595,1724801258,checkpoint_000001,True,True,2,8f9387a5,2024-08-28_01-27-38,15.111955404281616,25.905553340911865,503432,antonio,192.168.1.107,25.905553340911865,2,8,0.0014056611894665426,128,128,4,0.0044586502784032785,type1,128,1,8f9387a5
4,0.5491182985884737,0.2848853085698493,0.2848853085698493,1724801243,checkpoint_000001,True,False,2,f45d1b87,2024-08-28_01-27-23,4.782615900039673,9.431758165359497,503624,antonio,192.168.1.107,9.431758165359497,2,16,7.64152228926123e-05,64,64,3,0.0017722480599590637,cosine,192,3,f45d1b87
5,0.47592601481512303,0.2885404798057098,0.28067611216080146,1724801263,checkpoint_000007,True,False,8,03865d05,2024-08-28_01-27-43,3.004990577697754,26.001885414123535,503946,antonio,192.168.1.107,26.001885414123535,8,32,0.0038662509590750337,64,128,4,0.002538154370814831,type1,128,2,03865d05
6,0.38945817424064616,0.28503980959445935,0.2823397012842371,1724801305,checkpoint_000007,True,True,8,a4b53d01,2024-08-28_01-28-25,7.206115484237671,66.31479072570801,504058,antonio,192.168.1.107,66.31479072570801,8,8,0.0004624220480643287,128,64,2,0.008355041573423488,type1,384,3,a4b53d01
7,0.3252928228551195,0.343106505861066,0.2767480297873746,1724801263,checkpoint_000007,True,False,8,0f3f6d45,2024-08-28_01-27-43,2.197920560836792,17.06576156616211,504567,antonio,192.168.1.107,17.06576156616211,8,64,0.00024238049712679258,512,32,3,0.004095847070374044,cosine,1536,3,0f3f6d45
8,0.5138456978415715,0.2973604303569588,0.28734107823698174,1724801269,checkpoint_000001,True,False,2,f6f5e3a8,2024-08-28_01-27-49,1.1002967357635498,2.9835684299468994,506108,antonio,192.168.1.107,2.9835684299468994,2,64,0.0008887446686543898,128,512,3,0.00490076724385269,type1,256,2,f6f5e3a8
9,0.5378922538109944,0.28593932615863915,0.28593932615863915,1724801291,checkpoint_000001,True,False,2,474eed67,2024-08-28_01-28-11,11.838459730148315,20.566901683807373,506707,antonio,192.168.1.107,20.566901683807373,2,8,7.769535181297931e-05,64,256,3,0.0013536734568161347,type1,256,4,474eed67
10,0.5353646428530453,0.2808638216588922,0.2808638216588922,1724801297,checkpoint_000005,True,False,6,c194db73,2024-08-28_01-28-17,0.7181825637817383,5.831489324569702,508300,antonio,192.168.1.107,3.7120914459228516,4,64,0.00010118381143848808,128,32,1,0.0036134344848721594,type1,384,3,c194db73
11,0.504166878589237,0.2864505343718261,0.2819631891474045,1724801306,checkpoint_000005,True,True,6,03594f05,2024-08-28_01-28-26,1.2102007865905762,9.95640230178833,509271,antonio,192.168.1.107,6.561641693115234,4,64,0.00025927768340290055,64,128,4,0.009797837256716112,cosine,128,2,03594f05
12,0.6088190610390548,0.334620371211546,0.3181653201203224,1724801291,checkpoint_000001,True,True,2,22a368ef,2024-08-28_01-28-11,6.423106670379639,13.095388174057007,507378,antonio,192.168.1.107,13.095388174057007,2,16,0.000767933896053996,512,256,4,0.002097385926386366,type1,1024,2,22a368ef
13,0.5223211093910793,0.2805150627657666,0.28000489997238687,1724801319,checkpoint_000007,True,True,8,703be78d,2024-08-28_01-28-39,5.231084585189819,37.336889028549194,507760,antonio,192.168.1.107,37.336889028549194,8,16,8.14304761857847e-05,64,64,3,0.0032105210660975923,cosine,64,1,703be78d
14,0.4675488346860609,0.28270976197469094,0.2823500977035968,1724801300,checkpoint_000007,True,False,8,b6aac80c,2024-08-28_01-28-20,0.8741564750671387,7.978003740310669,508202,antonio,192.168.1.107,7.978003740310669,8,64,0.00021505314519157704,128,512,2,0.008091035167875788,cosine,256,2,b6aac80c
15,0.5715867398363171,0.299021256761331,0.299021256761331,1724801309,checkpoint_000007,True,False,8,d2c89ab6,2024-08-28_01-28-29,0.8505210876464844,6.372145175933838,509638,antonio,192.168.1.107,6.372145175933838,8,128,5.0622796586581275e-05,128,64,3,0.0038328278325881248,type1,128,1,d2c89ab6
16,0.4617005062946626,0.291894303611904,0.2820537566983509,1724801360,checkpoint_000005,True,True,6,92797754,2024-08-28_01-29-20,5.899311780929565,34.05787515640259,513320,antonio,192.168.1.107,22.971766710281372,4,16,0.00016370205551707442,128,64,4,0.009200683021769254,type1,512,4,92797754
17,0.6084971562968158,0.32245389105840083,0.32211574213839056,1724801320,checkpoint_000001,True,False,2,3eb2c58c,2024-08-28_01-28-40,4.766024589538574,10.985120058059692,510667,antonio,192.168.1.107,10.985120058059692,2,16,0.0046346103028366776,32,256,4,0.004069736787996728,cosine,128,4,3eb2c58c
18,0.5844246930020717,0.31703344403633443,0.31028095745561557,1724801319,checkpoint_000001,True,False,2,c019c8b9,2024-08-28_01-28-39,3.8742563724517822,8.73921823501587,510956,antonio,192.168.1.107,8.73921823501587,2,16,0.0035821064247659644,128,128,2,0.0010300319956232718,type1,256,2,c019c8b9
19,0.6013520439617507,0.3099152093185905,0.3099152093185905,1724801323,checkpoint_000001,True,False,2,e62a9850,2024-08-28_01-28-43,0.9526550769805908,2.474199056625366,511547,antonio,192.168.1.107,2.474199056625366,2,64,0.00010736080834660659,32,256,4,0.005452338356716755,type1,64,2,e62a9850
20,0.430438810849053,0.30326924826319485,0.29028053296326084,1724801353,checkpoint_000005,True,False,6,c6e447e5,2024-08-28_01-29-13,4.897458553314209,30.837929487228394,511657,antonio,192.168.1.107,30.837929487228394,6,16,0.001234788399658461,32,256,4,0.004842177021231122,cosine,64,2,c6e447e5
21,0.5421389441453773,0.2866671494543885,0.2866671494543885,1724801335,checkpoint_000007,True,False,8,78d8c031,2024-08-28_01-28-55,1.3870716094970703,11.713799476623535,511806,antonio,192.168.1.107,11.713799476623535,8,64,0.00023610368816778788,32,128,4,0.0038758267905341618,type1,64,2,78d8c031
22,0.44303831662840515,0.31694767160591203,0.29041604598511017,1724801347,checkpoint_000007,True,False,8,f0365a27,2024-08-28_01-29-07,2.7122714519500732,22.01622200012207,511998,antonio,192.168.1.107,22.01622200012207,8,32,0.0033015153708490057,32,256,4,0.008199926640155694,cosine,128,4,f0365a27
23,0.4993575683050749,0.28141674590558535,0.28046647077457487,1724801381,checkpoint_000007,True,True,8,3acddc49,2024-08-28_01-29-41,5.151530027389526,54.836461782455444,512110,antonio,192.168.1.107,54.836461782455444,8,8,0.0001264063837340453,128,64,1,0.00366699322772534,type1,128,1,3acddc49
24,0.553090207956054,0.2850836423437318,0.2850836423437318,1724801351,checkpoint_000001,True,False,2,3a17eba9,2024-08-28_01-29-11,0.7421557903289795,2.180972099304199,514063,antonio,192.168.1.107,2.180972099304199,2,128,0.00012916994041062827,128,32,3,0.009979924146051571,type1,256,2,3a17eba9
25,0.36914205710396514,0.31659896498322265,0.2792436849920224,1724801389,checkpoint_000005,True,False,6,43a1b1f1,2024-08-28_01-29-49,1.5099449157714844,8.837894916534424,516358,antonio,192.168.1.107,5.9391210079193115,4,64,0.00044136308729690886,256,32,3,0.0008728863393182138,cosine,512,2,43a1b1f1
26,0.37761279625470556,0.2772162667146266,0.2756218406548062,1724801433,checkpoint_000005,True,True,6,4f16a20f,2024-08-28_01-30-33,17.20330309867859,66.66232347488403,517095,antonio,192.168.1.107,45.28739833831787,4,8,8.021221750011214e-05,512,256,3,0.006426454985792318,type1,1536,3,4f16a20f
27,0.5134194950809319,0.28588834616631636,0.2847140908474016,1724801382,checkpoint_000001,True,True,2,715ddd5b,2024-08-28_01-29-42,10.4273681640625,24.425767183303833,514998,antonio,192.168.1.107,24.425767183303833,2,8,0.000332742634442167,128,256,4,0.002534832458675653,cosine,384,3,715ddd5b
28,0.5547402989169152,0.28945803848417684,0.28945803848417684,1724801376,checkpoint_000001,True,False,2,8f34e7a9,2024-08-28_01-29-36,6.4498186111450195,13.513186693191528,515229,antonio,192.168.1.107,13.513186693191528,2,16,0.00014865161358379984,32,512,4,0.0024766369964314386,type1,32,1,8f34e7a9
29,0.45118723022595547,0.29630541548204936,0.2776797517341679,1724801438,checkpoint_000007,True,True,8,ebe8b7b5,2024-08-28_01-30-38,5.691386699676514,60.35753917694092,515830,antonio,192.168.1.107,60.35753917694092,8,8,0.00015217428813800161,128,128,1,0.00187065326971432,cosine,512,4,ebe8b7b5
30,0.51577264251131,0.2875600917581379,0.28748679079057204,1724801386,checkpoint_000007,True,False,8,28c29658,2024-08-28_01-29-46,0.8608720302581787,6.8757452964782715,515903,antonio,192.168.1.107,6.8757452964782715,8,128,0.0005997629713710982,32,512,4,0.001812203737745003,type1,32,1,28c29658
31,0.4459838864343767,0.2970107180250316,0.2781056940234164,1724801400,checkpoint_000007,True,False,8,30d3bfd7,2024-08-28_01-30-00,1.9632632732391357,16.241602182388306,516357,antonio,192.168.1.107,16.241602182388306,8,32,0.004216760512585711,64,512,2,0.0010404368298858999,cosine,64,1,30d3bfd7
32,0.5200308483975534,0.27903552570055745,0.27896190161774176,1724801446,checkpoint_000005,True,False,6,d8b8c72a,2024-08-28_01-30-46,0.827747106552124,7.753810167312622,521784,antonio,192.168.1.107,4.816755294799805,4,64,0.00012049913103975497,128,64,2,0.005555234440861102,type1,512,4,d8b8c72a
33,0.5214258960702203,0.2914345854496415,0.2895383759474125,1724801398,checkpoint_000001,True,False,2,629db0aa,2024-08-28_01-29-58,0.5024070739746094,1.6880667209625244,518028,antonio,192.168.1.107,1.6880667209625244,2,128,0.004842130908233905,64,32,1,0.0031158132477773904,cosine,192,3,629db0aa
34,0.4987971051872119,0.2860560033923412,0.2804398799239592,1724801462,checkpoint_000005,True,True,6,23f9cfa4,2024-08-28_01-31-02,4.988363981246948,29.438488006591797,522004,antonio,192.168.1.107,18.76983380317688,4,16,0.00018257426764417434,64,32,3,0.0018056556856843992,cosine,128,2,23f9cfa4
35,0.5264634725924432,0.2843528392895441,0.28407516129046134,1724801412,checkpoint_000001,True,False,2,46579d28,2024-08-28_01-30-12,4.620060443878174,9.642251253128052,518660,antonio,192.168.1.107,9.642251253128052,2,16,0.000918482728204258,32,128,2,0.004033906647842376,cosine,32,1,46579d28
36,0.609985375375839,0.3227088349864757,0.3223083653650394,1724801439,checkpoint_000001,True,True,2,2f409413,2024-08-28_01-30-39,8.630782127380371,25.712599992752075,519284,antonio,192.168.1.107,25.712599992752075,2,8,0.004375848579114563,256,32,3,0.0009058722760680478,type1,1024,4,2f409413
37,0.4685837658065738,0.2740282448152043,0.2738930164448787,1724801432,checkpoint_000007,True,False,8,5ea0fdaf,2024-08-28_01-30-32,1.855191707611084,17.067779302597046,519360,antonio,192.168.1.107,17.067779302597046,8,128,9.920311671502047e-05,512,128,4,0.0020976290498600173,type1,1536,3,5ea0fdaf
38,0.5377737193396597,0.28383799743457283,0.28383799743457283,1724801441,checkpoint_000007,True,True,8,5b81a989,2024-08-28_01-30-41,0.9847345352172852,6.59843373298645,520429,antonio,192.168.1.107,6.59843373298645,8,128,5.1813750867236254e-05,128,32,3,0.0008363133712167491,cosine,512,4,5b81a989
39,0.49082639316717785,0.28254047819465544,0.28211022370940647,1724801440,checkpoint_000007,True,False,8,05a4e92f,2024-08-28_01-30-40,0.41395139694213867,4.473135948181152,520505,antonio,192.168.1.107,4.473135948181152,8,128,0.0006970493720701347,128,64,1,0.003725900140572556,type1,128,1,05a4e92f
40,0.5844095579654206,0.3090687097005571,0.30717494517465027,1724801445,checkpoint_000001,True,False,2,e38aba65,2024-08-28_01-30-45,3.0641207695007324,5.896402835845947,521171,antonio,192.168.1.107,5.896402835845947,2,32,0.0006472014950960834,512,128,4,0.003926777086630142,type1,1024,2,e38aba65
41,0.5470420784736407,0.2855493483622307,0.2855493483622307,1724801447,checkpoint_000001,True,False,2,81c69df2,2024-08-28_01-30-47,1.326416015625,4.291771650314331,522008,antonio,192.168.1.107,4.291771650314331,2,32,0.0002778196536302982,32,512,2,0.0009211999693060972,type1,32,1,81c69df2
42,0.38275400707215973,0.27913948582113346,0.2784738403607496,1724801470,checkpoint_000005,True,False,6,6d769343,2024-08-28_01-31-10,1.521317481994629,10.564759016036987,524055,antonio,192.168.1.107,7.16457724571228,4,128,0.00023445405658432863,512,256,4,0.00414571665995033,cosine,512,1,6d769343
43,0.5205962500954402,0.28107965753097525,0.2810474034300432,1724801472,checkpoint_000005,True,True,6,c9297f96,2024-08-28_01-31-12,1.168962001800537,11.687801837921143,524237,antonio,192.168.1.107,8.06222152709961,4,64,0.0002492095244842314,64,64,4,0.010136162054050846,type1,128,2,c9297f96
44,0.5474416675975629,0.2883104322102044,0.2883104322102044,1724801461,checkpoint_000001,True,True,2,92986150,2024-08-28_01-31-01,5.310520648956299,10.388258934020996,523024,antonio,192.168.1.107,10.388258934020996,2,16,0.0013128540899147256,64,64,4,0.008724231831337489,type1,128,2,92986150
45,0.4142608910115226,0.30779160107543097,0.2814349098170544,1724801478,checkpoint_000007,True,False,8,34a6f36b,2024-08-28_01-31-18,3.4335927963256836,25.3072772026062,523289,antonio,192.168.1.107,25.3072772026062,8,16,0.0008032197854192559,64,32,1,0.0011855869076309751,cosine,128,2,34a6f36b
46,0.39464704129114103,0.3006578040371246,0.29182617801600735,1724801523,checkpoint_000006,True,True,7,d0e264b0,2024-08-28_01-32-03,10.450847148895264,68.33163833618164,523588,antonio,192.168.1.107,68.33163833618164,7,8,0.0006583332581199231,64,256,3,0.0016985217222842519,cosine,192,3,d0e264b0
47,0.37368790771215016,0.29791322478511245,0.2847566517723143,1724801482,checkpoint_000007,True,False,8,964efd24,2024-08-28_01-31-22,1.473684549331665,10.755329132080078,525030,antonio,192.168.1.107,10.755329132080078,8,64,0.0017968343419775099,128,512,3,0.0015022783321140365,cosine,384,3,964efd24
48,0.531659294204175,0.2872348116006316,0.2872348116006316,1724801481,checkpoint_000001,True,False,2,7f21b0a9,2024-08-28_01-31-21,2.5246901512145996,6.113682270050049,525325,antonio,192.168.1.107,6.113682270050049,2,32,0.0010341895631431814,64,256,4,0.0019689502150952343,type1,256,4,7f21b0a9
49,0.456105209188981,0.2879956129449324,0.2789604414868151,1724801539,checkpoint_000005,True,False,6,e2ab14f6,2024-08-28_01-32-19,3.3986775875091553,20.277050256729126,529389,antonio,192.168.1.107,14.236228704452515,4,16,7.478000496303501e-05,512,128,1,0.004977289470674783,cosine,1536,3,e2ab14f6
50,0.5467559021847849,0.2828398055195055,0.2828398055195055,1724801486,checkpoint_000001,True,False,2,af5713ca,2024-08-28_01-31-26,1.6237802505493164,3.957463026046753,526360,antonio,192.168.1.107,3.957463026046753,2,32,0.00013647116012004818,64,64,2,0.0014152615274869687,type1,256,4,af5713ca
51,0.5202563750071462,0.2854426952155827,0.2854426952155827,1724801489,checkpoint_000001,True,False,2,8699b709,2024-08-28_01-31-29,2.3007049560546875,5.3951637744903564,526507,antonio,192.168.1.107,5.3951637744903564,2,16,0.0012977771548316457,64,512,1,0.009397177912989217,cosine,128,2,8699b709
52,0.47253133542657466,0.29184449068140744,0.2810469410784318,1724801551,checkpoint_000005,True,True,6,a188a6d8,2024-08-28_01-32-31,11.133931159973145,63.00438475608826,526891,antonio,192.168.1.107,63.00438475608826,6,8,0.00027335038360796555,64,32,3,0.010398938245949101,type1,128,2,a188a6d8
53,0.6085306429977052,0.3219536549653117,0.32022917166479725,1724801556,checkpoint_000007,True,True,8,6f417c50,2024-08-28_01-32-37,9.248697519302368,67.4784905910492,527079,antonio,192.168.1.107,67.4784905910492,8,8,0.003976246084667997,512,64,2,0.0031782854949904504,type1,512,1,6f417c50
54,0.5024462206797167,0.2820331567906012,0.28049871870224785,1724801497,checkpoint_000007,True,False,8,7e3a6866,2024-08-28_01-31-37,0.5564963817596436,5.7064690589904785,527271,antonio,192.168.1.107,5.7064690589904785,8,128,0.00016355590024148858,128,512,2,0.004726236119721276,cosine,256,2,7e3a6866
55,0.4558037334828714,0.29621947109255925,0.2827624689916467,1724801526,checkpoint_000007,True,False,8,ad602226,2024-08-28_01-32-06,2.9079372882843018,26.155336141586304,528171,antonio,192.168.1.107,26.155336141586304,8,16,0.000889993983209263,32,64,1,0.01058930540332267,cosine,64,2,ad602226
56,0.5661048770634668,0.2873764620943555,0.2873764620943555,1724801540,checkpoint_000001,True,False,2,01f99c6a,2024-08-28_01-32-20,5.668008089065552,12.905640602111816,529542,antonio,192.168.1.107,12.905640602111816,2,16,0.00267873997961068,64,512,4,0.0008458423500947368,cosine,128,2,01f99c6a
57,0.6105449901813526,0.31704023238804846,0.31704023238804846,1724801563,checkpoint_000001,True,False,2,5446c8fc,2024-08-28_01-32-43,10.456440925598145,22.390977144241333,530272,antonio,192.168.1.107,22.390977144241333,2,8,0.0038492057093386088,512,32,3,0.002429964401494705,cosine,1536,3,5446c8fc
